date,open,high,low,close,volume,Index
2014-10-07,39.552,39.6064,39.2099,39.2254,1259799,HSBC
2014-10-08,39.5908,39.9874,39.4742,39.9874,3777024,HSBC
2014-10-09,39.482,39.5675,38.9922,39.0388,2568714,HSBC
2014-10-10,38.9066,38.9999,38.6501,38.6889,4375561,HSBC
2014-10-13,39.482,39.6064,39.1943,39.2176,1782934,HSBC
2014-10-14,39.2332,39.3809,39.0543,39.1399,1933295,HSBC
2014-10-15,38.8755,38.93,37.9425,38.5956,3897856,HSBC
2014-10-16,37.9969,38.72,37.9503,38.5334,2811671,HSBC
2014-10-17,38.7745,39.0583,38.6501,39.0233,2097831,HSBC
2014-10-20,38.6812,38.8911,38.5879,38.8911,1293619,HSBC
2014-10-21,39.0777,39.2643,39.0388,39.2176,1079173,HSBC
2014-10-22,39.2726,39.414,39.0684,39.1077,1220001,HSBC
2014-10-23,39.7831,39.8223,39.575,39.6181,2005554,HSBC
2014-10-24,39.7516,39.8066,39.6181,39.7831,1238468,HSBC
2014-10-27,39.2412,39.5553,39.2334,39.4689,1010551,HSBC
2014-10-28,39.7124,39.8223,39.6417,39.8223,1261213,HSBC
2014-10-29,39.7831,39.9323,39.571,39.8066,1396924,HSBC
2014-10-30,39.2569,39.7124,39.2491,39.6181,1414834,HSBC
2014-10-31,40.0108,40.2071,39.9009,40.0658,1437351,HSBC
2014-11-03,39.4847,39.5239,39.2176,39.3433,1675728,HSBC
2014-11-04,39.2098,39.3904,39.1352,39.3904,1526208,HSBC
2014-11-05,39.5239,39.7203,39.4297,39.6574,1087882,HSBC
2014-11-06,39.7045,39.7909,39.4061,39.5475,722989,HSBC
2014-11-07,39.2412,39.3354,39.1234,39.3354,1308781,HSBC
2014-11-10,39.4768,39.6189,39.3311,39.5553,758835,HSBC
2014-11-11,39.6888,39.7595,39.5789,39.7124,791785,HSBC
2014-11-12,39.2334,39.4847,39.2176,39.4375,731131,HSBC
2014-11-13,39.3669,39.4768,39.2726,39.3826,1090781,HSBC
2014-11-14,39.1941,39.5082,39.1862,39.4768,1379257,HSBC
2014-11-17,38.9899,39.3669,38.9821,39.304,1071482,HSBC
2014-11-18,39.3119,39.4061,39.2059,39.2176,850544,HSBC
2014-11-19,39.0527,39.0763,38.9035,39.0606,1206079,HSBC
2014-11-20,38.5501,38.6679,38.4716,38.5816,2115610,HSBC
2014-11-21,38.9585,39.0371,38.7779,38.8721,1492107,HSBC
2014-11-24,38.8643,38.9455,38.6522,38.8486,1616586,HSBC
2014-11-25,39.1077,39.3354,39.0684,39.2019,1441853,HSBC
2014-11-26,39.2098,39.2805,39.0135,39.0684,673223,HSBC
